jednostka_podzialu,rok,przestepstwa_stwierdzone,przestepstwa_wykryte,procent_wykrycia
woj. podlaskie,2014,14,14,100.0
woj. podlaskie,2013,24,24,100.0
woj. podlaskie,2012,16,16,100.0
woj. podlaskie,2011,14,13,93.0
woj. podlaskie,2010,16,15,94.0
woj. podlaskie,2009,14,14,100.0
woj. podlaskie,2008,18,17,94.0
woj. podlaskie,2007,26,26,100.0
woj. podlaskie,2006,34,32,94.0
woj. podlaskie,2005,25,26,104.0
woj. podlaskie,2004,36,33,92.0
woj. podlaskie,2003,32,27,84.0
woj. podlaskie,2002,62,55,89.0
woj. podlaskie,2001,45,40,89.0
woj. podlaskie,2000,49,48,98.0
woj. podlaskie,1999,37,36,97.0
woj. pomorskie,2020,52,51,98.0
woj. pomorskie,2019,41,39,95.0
woj. pomorskie,2018,27,27,100.0
woj. pomorskie,2017,46,45,98.0
woj. pomorskie,2016,21,20,95.0
woj. pomorskie,2015,28,29,104.0
woj. pomorskie,2014,38,35,92.0
woj. pomorskie,2013,33,30,91.0
woj. pomorskie,2012,27,24,89.0
woj. pomorskie,2011,40,38,95.0
woj. pomorskie,2010,43,41,95.0
woj. pomorskie,2009,32,33,103.0
woj. pomorskie,2008,46,46,100.0
woj. pomorskie,2007,38,36,95.0
woj. pomorskie,2006,42,40,95.0
woj. pomorskie,2005,44,35,80.0
woj. pomorskie,2004,73,69,95.0
woj. pomorskie,2003,67,64,96.0
woj. pomorskie,2002,52,50,96.0
woj. pomorskie,2001,64,60,94.0
woj. pomorskie,2000,83,65,78.0
woj. pomorskie,1999,70,58,83.0
woj. śląskie,2020,82,83,101.0
woj. śląskie,2019,71,70,99.0
woj. śląskie,2018,63,60,95.0
woj. śląskie,2017,51,48,94.0
woj. śląskie,2016,69,68,99.0
woj. śląskie,2015,77,74,96.0
woj. śląskie,2014,67,66,99.0
woj. śląskie,2013,69,68,99.0
woj. śląskie,2012,78,76,97.0
woj. śląskie,2011,86,88,102.0
woj. śląskie,2010,90,81,90.0
woj. śląskie,2009,99,96,97.0
woj. śląskie,2008,89,89,100.0
woj. śląskie,2007,101,103,102.0
woj. śląskie,2006,119,108,91.0
woj. śląskie,2005,107,102,95.0
woj. śląskie,2004,138,132,96.0
woj. śląskie,2003,116,112,97.0
woj. śląskie,2002,131,122,93.0
woj. śląskie,2001,188,179,95.0
woj. śląskie,2000,157,151,96.0
woj. śląskie,1999,145,136,94.0
woj. świętokrzyskie,2020,19,19,100.0
woj. świętokrzyskie,2019,16,16,100.0
woj. świętokrzyskie,2018,26,25,96.0
woj. świętokrzyskie,2017,16,16,100.0
woj. świętokrzyskie,2016,10,10,100.0
woj. świętokrzyskie,2015,11,11,100.0
woj. świętokrzyskie,2014,4,5,125.0
woj. świętokrzyskie,2013,13,12,92.0
woj. świętokrzyskie,2012,14,14,100.0
woj. świętokrzyskie,2011,29,30,103.0
woj. świętokrzyskie,2010,21,21,100.0
woj. świętokrzyskie,2009,19,18,95.0
woj. świętokrzyskie,2008,23,21,91.0
woj. świętokrzyskie,2007,19,18,95.0
woj. świętokrzyskie,2006,20,18,90.0
woj. świętokrzyskie,2005,24,20,83.0
woj. świętokrzyskie,2004,24,22,92.0
woj. świętokrzyskie,2003,27,22,81.0
woj. świętokrzyskie,2002,38,33,87.0
woj. świętokrzyskie,2001,38,38,100.0
woj. świętokrzyskie,2000,46,39,85.0
woj. świętokrzyskie,1999,32,27,84.0
woj. warmińsko-mazurskie,2020,24,24,100.0
woj. warmińsko-mazurskie,2019,23,23,100.0
woj. warmińsko-mazurskie,2018,17,14,82.0
woj. warmińsko-mazurskie,2017,25,25,100.0
woj. warmińsko-mazurskie,2016,22,22,100.0
woj. warmińsko-mazurskie,2015,19,19,100.0
woj. warmińsko-mazurskie,2014,18,17,94.0
woj. warmińsko-mazurskie,2013,18,17,94.0
woj. warmińsko-mazurskie,2012,26,26,100.0
woj. warmińsko-mazurskie,2011,21,18,86.0
woj. warmińsko-mazurskie,2010,25,26,104.0
woj. warmińsko-mazurskie,2009,40,39,98.0
woj. warmińsko-mazurskie,2008,29,25,86.0
woj. warmińsko-mazurskie,2007,27,27,100.0
woj. warmińsko-mazurskie,2006,44,42,95.0
woj. warmińsko-mazurskie,2005,41,41,100.0
woj. warmińsko-mazurskie,2004,36,37,103.0
woj. warmińsko-mazurskie,2003,53,47,89.0
woj. warmińsko-mazurskie,2002,73,71,97.0
woj. warmińsko-mazurskie,2001,60,55,92.0
woj. warmińsko-mazurskie,2000,52,46,88.0
woj. warmińsko-mazurskie,1999,53,52,98.0
woj. wielkopolskie,2020,33,30,91.0
woj. wielkopolskie,2019,44,42,95.0
woj. wielkopolskie,2018,36,34,94.0
woj. wielkopolskie,2017,29,28,97.0
woj. wielkopolskie,2016,21,20,95.0
woj. wielkopolskie,2015,23,22,96.0
woj. wielkopolskie,2014,33,32,97.0
woj. wielkopolskie,2013,31,28,90.0
woj. wielkopolskie,2012,39,40,103.0
woj. wielkopolskie,2011,42,41,98.0
woj. wielkopolskie,2010,36,34,94.0
woj. wielkopolskie,2009,47,43,91.0
woj. wielkopolskie,2008,39,34,87.0
woj. wielkopolskie,2007,42,37,88.0
woj. wielkopolskie,2006,42,40,95.0
woj. wielkopolskie,2005,49,47,96.0
woj. wielkopolskie,2004,60,59,98.0
woj. wielkopolskie,2003,81,67,83.0
woj. wielkopolskie,2002,76,71,93.0
woj. wielkopolskie,2001,59,52,88.0
woj. wielkopolskie,2000,53,44,83.0
woj. wielkopolskie,1999,44,40,91.0
woj. zachodniopomorskie,2020,65,65,100.0
woj. zachodniopomorskie,2019,52,52,100.0
woj. zachodniopomorskie,2018,27,26,96.0
woj. zachodniopomorskie,2017,38,38,100.0
woj. zachodniopomorskie,2016,27,25,93.0
woj. zachodniopomorskie,2015,37,36,97.0
woj. zachodniopomorskie,2014,35,33,94.0
woj. zachodniopomorskie,2013,34,33,97.0
woj. zachodniopomorskie,2012,44,45,102.0
woj. zachodniopomorskie,2011,37,33,89.0
woj. zachodniopomorskie,2010,46,41,89.0
woj. zachodniopomorskie,2009,41,41,100.0
woj. zachodniopomorskie,2008,39,35,90.0
woj. zachodniopomorskie,2007,49,44,90.0
woj. zachodniopomorskie,2006,31,30,97.0
woj. zachodniopomorskie,2005,42,36,86.0
woj. zachodniopomorskie,2004,56,53,95.0
woj. zachodniopomorskie,2003,62,52,84.0
woj. zachodniopomorskie,2002,78,73,94.0
woj. zachodniopomorskie,2001,97,85,88.0
woj. zachodniopomorskie,2000,80,77,96.0
woj. zachodniopomorskie,1999,77,71,92.0
